order_id,user_id,product_id,category,price,TotaQuantity,TotalPrice,order_date.1,order_time,order_date.3,country,customer_segment,Year,Month Name,Days in Month,Week of Month,Quarter,Hour
100091,2236,253,Clothing,116.13,1,116.13,31-Jul-24,06:29:42,PM,India,Low-Value,2024,July,31,5,3,6
100093,493,451,Toys,29.18,1,29.18,13-Dec-23,02:51:07,AM,United States,Low-Value,2023,December,31,3,4,2
100095,2063,274,Grocery,29.06,1,29.06,27-May-24,10:57:25,AM,United Kingdom,Low-Value,2024,May,31,5,2,10
100097,2569,239,Beauty,28.09,1,28.09,11-May-25,07:37:59,AM,Mexico,Low-Value,2025,May,31,3,2,7
100098,1368,270,Home,92.2,1,92.2,11-Dec-23,05:52:58,AM,Spain,Low-Value,2023,December,31,3,4,5
100100,2028,433,Clothing,23.26,1,23.26,25-Jul-22,05:44:47,AM,United States,Low-Value,2022,July,31,5,3,5
100106,392,186,Clothing,91.68,1,91.68,08-Mar-25,09:56:07,AM,United States,Low-Value,2025,March,31,2,1,9
100110,379,281,Beauty,82.41,1,82.41,29-Jul-25,09:22:46,PM,France,Low-Value,2025,July,31,5,3,9
100111,1797,447,Toys,22.97,1,22.97,30-Oct-23,09:43:04,AM,United Kingdom,Low-Value,2023,October,31,5,4,9
100112,2279,253,Grocery,17.69,1,17.69,27-Dec-22,07:06:44,PM,United Kingdom,Low-Value,2022,December,31,5,4,7
100121,1752,342,Sports,21.68,1,21.68,14-Jan-25,10:53:19,PM,United States,Low-Value,2025,January,31,3,1,10
100133,503,480,Toys,12.62,1,12.62,13-Jan-23,02:21:07,PM,France,Low-Value,2023,January,31,2,1,2
100137,2843,53,Books,35.74,1,35.74,10-May-24,10:10:26,AM,South Africa,Low-Value,2024,May,31,2,2,10
100140,1039,203,Grocery,44.02,1,44.02,15-Dec-23,07:29:40,PM,India,Low-Value,2023,December,31,3,4,7
100142,2940,136,Home,59.45,1,59.45,29-Jan-24,05:13:23,PM,United States,Low-Value,2024,January,31,5,1,5
100146,564,424,Home,125.07,1,125.07,28-Aug-22,07:58:10,PM,India,Low-Value,2022,August,31,5,3,7
100148,96,47,Clothing,102.43,1,102.43,27-Dec-22,03:05:18,PM,Netherlands,Low-Value,2022,December,31,5,4,3
100151,2533,48,Grocery,26.3,1,26.3,06-May-22,11:37:20,PM,Mexico,Low-Value,2022,May,31,1,2,11
100152,2279,240,Grocery,51.5,1,51.5,30-Dec-23,11:46:55,PM,India,Low-Value,2023,December,31,5,4,11
100156,1060,340,Grocery,37.7,1,37.7,12-Dec-22,06:39:54,PM,United States,Low-Value,2022,December,31,3,4,6
100166,796,304,Home,101.03,1,101.03,01-Aug-25,08:58:23,PM,United Kingdom,Low-Value,2025,August,31,1,3,8
100167,1052,256,Beauty,98.22,1,98.22,25-Mar-25,09:29:09,PM,India,Low-Value,2025,March,31,5,1,9
100169,1364,102,Toys,14.62,1,14.62,10-May-25,11:18:26,AM,United States,Low-Value,2025,May,31,2,2,11
100172,1664,39,Books,27.15,1,27.15,19-May-23,09:38:59,PM,United Kingdom,Low-Value,2023,May,31,3,2,9
100176,2238,88,Books,39.74,1,39.74,01-Oct-23,06:50:46,AM,Japan,Low-Value,2023,October,31,1,4,6
100178,1401,369,Clothing,48.54,1,48.54,17-Mar-23,06:57:32,AM,France,Low-Value,2023,March,31,3,1,6
100180,2681,77,Books,20.81,1,20.81,18-May-23,06:50:17,PM,Japan,Low-Value,2023,May,31,3,2,6
100181,2676,442,Toys,25.85,1,25.85,03-Mar-23,11:59:35,AM,United States,Low-Value,2023,March,31,1,1,11
100186,1480,382,Clothing,43.5,1,43.5,11-Jul-24,09:54:40,PM,United Kingdom,Low-Value,2024,July,31,2,3,9
100189,318,58,Grocery,37.8,1,37.8,10-Mar-22,12:31:11,AM,United States,Low-Value,2022,March,31,2,1,12
100190,1258,201,Sports,75.44,1,75.44,28-Jan-23,06:09:26,AM,France,Low-Value,2023,January,31,4,1,6
100191,684,225,Sports,43.59,1,43.59,01-Aug-25,02:51:33,AM,United Kingdom,Low-Value,2025,August,31,1,3,2
100192,664,142,Sports,71.43,1,71.43,29-May-23,02:46:26,AM,Netherlands,Low-Value,2023,May,31,5,2,2
100193,1999,381,Home,60.24,1,60.24,04-Dec-22,07:39:25,AM,Italy,Low-Value,2022,December,31,2,4,7
100196,1137,143,Books,32.24,1,32.24,28-Jul-23,10:17:13,PM,India,Low-Value,2023,July,31,5,3,10
100200,564,152,Sports,128.46,1,128.46,20-Jan-24,11:53:03,AM,United States,Low-Value,2024,January,31,3,1,11
100202,1637,446,Toys,12,1,12,05-Jul-23,05:24:34,AM,India,Low-Value,2023,July,31,2,3,5
100203,3000,141,Home,123.84,1,123.84,20-Mar-25,07:54:48,AM,China,Low-Value,2025,March,31,4,1,7
100204,699,446,Grocery,10.75,1,10.75,05-Jan-24,10:01:01,AM,United States,Low-Value,2024,January,31,1,1,10
100206,2,303,Books,14.74,1,14.74,13-May-23,08:14:39,PM,United States,Low-Value,2023,May,31,2,2,8
100207,642,112,Toys,18.47,1,18.47,13-Jul-24,10:34:17,AM,United States,Low-Value,2024,July,31,2,3,10
100216,1708,125,Books,19.81,1,19.81,08-Aug-22,01:07:49,PM,United States,Low-Value,2022,August,31,2,3,1
100217,2778,268,Clothing,92.05,1,92.05,13-Dec-22,10:47:39,AM,United States,Low-Value,2022,December,31,3,4,10
100219,1734,16,Home,124.97,1,124.97,08-Aug-23,08:20:30,PM,France,Low-Value,2023,August,31,2,3,8
100222,836,59,Beauty,45.09,1,45.09,28-Jan-25,03:26:21,AM,India,Low-Value,2025,January,31,5,1,3
100224,123,63,Beauty,66.06,1,66.06,07-Oct-23,07:31:01,PM,United States,Low-Value,2023,October,31,1,4,7
100225,401,446,Toys,36.83,1,36.83,26-Mar-22,02:18:10,AM,India,Low-Value,2022,March,31,4,1,2
100226,767,491,Home,120.01,1,120.01,03-Aug-22,08:06:01,PM,Japan,Low-Value,2022,August,31,1,3,8
100229,2932,246,Toys,31.03,1,31.03,05-Dec-22,07:47:48,PM,South Africa,Low-Value,2022,December,31,2,4,7
100230,198,289,Books,9.95,1,9.95,13-Jan-22,11:26:32,AM,Canada,Low-Value,2022,January,31,3,1,11
100232,2800,443,Grocery,20.94,1,20.94,11-Jul-23,08:52:26,AM,United Kingdom,Low-Value,2023,July,31,3,3,8
100236,187,255,Grocery,18.85,1,18.85,02-Dec-24,05:42:40,AM,United States,Low-Value,2024,December,31,1,4,5
100245,1535,199,Toys,6.29,1,6.29,16-May-23,07:00:01,AM,China,Low-Value,2023,May,31,3,2,7
100247,2912,500,Books,19.85,1,19.85,12-May-23,01:57:58,AM,United States,Low-Value,2023,May,31,2,2,1
100248,1735,234,Books,21.22,1,21.22,02-May-22,12:41:08,AM,Netherlands,Low-Value,2022,May,31,1,2,12
100253,1664,440,Clothing,74.5,1,74.5,05-Aug-24,06:40:29,AM,China,Low-Value,2024,August,31,2,3,6
100254,2599,249,Toys,65.53,1,65.53,21-Oct-24,11:46:45,AM,Canada,Low-Value,2024,October,31,4,4,11
100257,641,75,Beauty,37.49,1,37.49,02-Dec-23,09:32:23,PM,United Kingdom,Low-Value,2023,December,31,1,4,9
100266,2192,339,Home,17.02,1,17.02,21-Jan-22,06:01:15,PM,Mexico,Low-Value,2022,January,31,4,1,6
100267,2394,66,Home,130.35,1,130.35,14-Dec-24,02:38:44,AM,France,Low-Value,2024,December,31,2,4,2
100270,881,33,Clothing,19.09,1,19.09,14-Jan-25,06:53:57,AM,China,Low-Value,2025,January,31,3,1,6
100273,1328,46,Clothing,56.55,1,56.55,05-Oct-22,01:37:06,PM,India,Low-Value,2022,October,31,2,4,1
100275,453,354,Clothing,21.58,1,21.58,19-Oct-23,01:19:21,PM,Netherlands,Low-Value,2023,October,31,3,4,1
100278,1683,133,Toys,22.78,1,22.78,16-Mar-24,07:03:41,AM,Netherlands,Low-Value,2024,March,31,3,1,7
100281,1155,345,Sports,35.53,1,35.53,23-Jan-24,10:43:30,PM,United States,Low-Value,2024,January,31,4,1,10
100282,404,8,Electronics,75.72,1,75.72,09-Aug-24,09:12:50,AM,Japan,Low-Value,2024,August,31,2,3,9
100288,1649,317,Beauty,100.22,1,100.22,09-Jul-23,08:27:21,PM,United States,Low-Value,2023,July,31,3,3,8
100293,2558,102,Toys,23.53,1,23.53,29-Jan-23,01:43:41,PM,South Africa,Low-Value,2023,January,31,5,1,1
100297,1885,210,Sports,76.95,1,76.95,21-May-23,07:39:53,PM,United Kingdom,Low-Value,2023,May,31,4,2,7
100298,2962,495,Clothing,79.56,1,79.56,01-May-23,06:18:13,AM,India,Low-Value,2023,May,31,1,2,6
100299,1920,361,Toys,12.37,1,12.37,01-Oct-22,12:19:39,AM,United States,Low-Value,2022,October,31,1,4,12
100301,338,67,Clothing,36.02,1,36.02,03-Oct-24,01:30:32,PM,Germany,Low-Value,2024,October,31,1,4,1
100303,957,49,Toys,68.81,1,68.81,11-Jan-22,09:52:16,PM,United States,Low-Value,2022,January,31,3,1,9
100304,1705,487,Clothing,74.96,1,74.96,05-Mar-24,01:19:42,AM,United Kingdom,Low-Value,2024,March,31,2,1,1
100310,816,459,Books,6.37,1,6.37,09-Dec-22,05:07:11,PM,Netherlands,Low-Value,2022,December,31,2,4,5
100318,2736,271,Books,19.51,1,19.51,17-Jul-22,11:42:27,AM,United States,Low-Value,2022,July,31,4,3,11
100322,1046,375,Toys,9.3,1,9.3,19-Aug-22,09:04:52,PM,India,Low-Value,2022,August,31,3,3,9
100324,1694,158,Sports,82.77,1,82.77,21-Jan-24,07:41:34,AM,United States,Low-Value,2024,January,31,4,1,7
100325,2086,20,Toys,45.32,1,45.32,23-Jul-23,07:22:45,AM,Japan,Low-Value,2023,July,31,5,3,7
100328,2486,329,Toys,44.25,1,44.25,30-Mar-25,04:14:30,AM,India,Low-Value,2025,March,31,6,1,4
100331,226,167,Home,41.12,1,41.12,10-Mar-22,12:41:02,PM,Netherlands,Low-Value,2022,March,31,2,1,12
100334,2927,23,Toys,62.98,1,62.98,04-Aug-25,01:54:32,PM,Spain,Low-Value,2025,August,31,2,3,1
100339,659,9,Beauty,55.78,1,55.78,10-Aug-24,01:01:55,PM,South Africa,Low-Value,2024,August,31,2,3,1
100341,1216,412,Grocery,28.51,1,28.51,21-Aug-22,08:45:02,AM,India,Low-Value,2022,August,31,4,3,8
100343,1244,307,Clothing,47.82,1,47.82,01-May-23,01:41:11,AM,United States,Low-Value,2023,May,31,1,2,1
100345,2525,52,Clothing,8.37,1,8.37,11-Mar-22,10:23:41,PM,India,Low-Value,2022,March,31,2,1,10
100349,1769,193,Clothing,21.67,1,21.67,26-Jan-25,10:25:30,AM,Australia,Low-Value,2025,January,31,5,1,10
100350,1061,402,Home,127.28,1,127.28,15-Dec-24,09:10:50,PM,United Kingdom,Low-Value,2024,December,31,3,4,9
100352,2545,51,Electronics,70.14,1,70.14,21-Oct-23,12:21:28,AM,United Kingdom,Low-Value,2023,October,31,3,4,12
100363,2007,417,Grocery,13.27,1,13.27,06-Mar-23,11:26:11,AM,Brazil,Low-Value,2023,March,31,2,1,11
100364,1185,152,Books,27.99,1,27.99,18-Mar-24,07:26:00,PM,United States,Low-Value,2024,March,31,4,1,7
100377,155,190,Sports,83.04,1,83.04,13-May-22,06:37:57,PM,United Kingdom,Low-Value,2022,May,31,2,2,6
100378,2538,402,Books,17.62,1,17.62,08-May-25,11:30:58,AM,United Kingdom,Low-Value,2025,May,31,2,2,11
100382,1501,229,Grocery,3.22,1,3.22,07-Dec-23,06:38:17,AM,United States,Low-Value,2023,December,31,2,4,6
100386,1891,268,Books,23.4,1,23.4,28-Jul-24,10:18:09,AM,Mexico,Low-Value,2024,July,31,5,3,10
100393,2951,306,Grocery,12.35,1,12.35,05-Mar-25,04:34:34,AM,Spain,Low-Value,2025,March,31,2,1,4
100395,685,89,Beauty,56.28,1,56.28,06-Jul-23,02:49:56,PM,India,Low-Value,2023,July,31,2,3,2
100396,20,355,Grocery,7.24,1,7.24,17-May-22,12:41:35,PM,Canada,Low-Value,2022,May,31,3,2,12
100397,2369,116,Beauty,36.05,1,36.05,31-Aug-24,09:02:59,PM,Japan,Low-Value,2024,August,31,5,3,9
100399,400,177,Beauty,21.9,1,21.9,05-Aug-22,05:09:03,PM,India,Low-Value,2022,August,31,1,3,5
100406,834,325,Electronics,111.93,1,111.93,12-May-23,05:22:30,AM,Italy,Low-Value,2023,May,31,2,2,5
100409,1983,483,Books,16.14,1,16.14,08-Aug-23,11:26:09,PM,China,Low-Value,2023,August,31,2,3,11
100412,575,9,Grocery,34.7,1,34.7,10-May-23,08:28:46,AM,India,Low-Value,2023,May,31,2,2,8
100413,1149,118,Books,8.74,1,8.74,11-May-23,07:19:44,AM,India,Low-Value,2023,May,31,2,2,7
100417,2353,289,Grocery,6.32,1,6.32,14-Jan-22,12:11:02,PM,United States,Low-Value,2022,January,31,3,1,12
100419,682,14,Books,19.66,1,19.66,20-Aug-22,03:15:17,AM,United States,Low-Value,2022,August,31,3,3,3
100420,838,494,Sports,57.35,1,57.35,20-Jul-25,05:44:58,PM,United States,Low-Value,2025,July,31,4,3,5
100421,1078,257,Toys,66.41,1,66.41,16-Mar-23,09:16:58,PM,United States,Low-Value,2023,March,31,3,1,9
100438,269,72,Toys,30.48,1,30.48,30-May-25,02:08:23,PM,India,Low-Value,2025,May,31,5,2,2
100439,370,418,Sports,93.48,1,93.48,31-Jan-25,02:53:53,AM,India,Low-Value,2025,January,31,5,1,2
100442,1694,74,Beauty,46.39,1,46.39,04-Dec-23,10:26:07,PM,India,Low-Value,2023,December,31,2,4,10
100445,120,497,Clothing,126.18,1,126.18,14-Dec-24,09:42:59,AM,India,Low-Value,2024,December,31,2,4,9
100452,117,373,Electronics,145.05,1,145.05,16-Jul-24,05:11:51,PM,United States,Low-Value,2024,July,31,3,3,5
100453,1854,362,Beauty,31.54,1,31.54,02-May-22,07:00:42,PM,India,Low-Value,2022,May,31,1,2,7
100454,2839,93,Clothing,58.85,1,58.85,27-Oct-24,11:23:43,AM,Netherlands,Low-Value,2024,October,31,5,4,11
100456,1932,324,Home,82.56,1,82.56,07-Aug-24,07:46:51,AM,India,Low-Value,2024,August,31,2,3,7
100457,1013,384,Clothing,46.26,1,46.26,02-Aug-23,03:01:41,PM,Canada,Low-Value,2023,August,31,1,3,3
100467,897,160,Toys,10.49,1,10.49,29-Aug-23,10:27:12,AM,India,Low-Value,2023,August,31,5,3,10
100473,2909,403,Clothing,32.9,1,32.9,04-Jul-24,07:24:10,PM,France,Low-Value,2024,July,31,1,3,7
100477,997,11,Clothing,77.29,1,77.29,15-May-22,06:56:02,AM,Australia,Low-Value,2022,May,31,3,2,6
100478,2745,187,Home,21.09,1,21.09,19-Dec-22,01:57:08,AM,United Kingdom,Low-Value,2022,December,31,4,4,1
100480,1093,15,Grocery,24.41,1,24.41,21-Jan-24,09:33:25,AM,France,Low-Value,2024,January,31,4,1,9
100481,1009,266,Clothing,95.34,1,95.34,21-Dec-22,03:29:23,AM,United States,Low-Value,2022,December,31,4,4,3
100482,2142,297,Clothing,79.19,1,79.19,30-May-25,12:50:00,PM,Brazil,Low-Value,2025,May,31,5,2,12
100487,2960,128,Clothing,53.5,1,53.5,06-Dec-23,06:13:31,AM,United States,Low-Value,2023,December,31,2,4,6
100489,2522,65,Books,10.29,1,10.29,17-Jan-22,07:01:31,PM,Japan,Low-Value,2022,January,31,4,1,7
100492,551,428,Home,138.39,1,138.39,02-Jul-24,11:24:37,PM,India,Low-Value,2024,July,31,1,3,11
100496,357,254,Books,12.62,1,12.62,28-Mar-22,05:55:32,AM,India,Low-Value,2022,March,31,5,1,5
100001,1295,366,Home,101.09,1,101.09,17-Apr-22,09:31:40,AM,Canada,Low-Value,2022,April,30,4,2,9
100005,2170,247,Toys,19.18,1,19.18,18-Nov-24,11:48:19,PM,China,Low-Value,2024,November,30,4,4,11
100006,467,68,Grocery,7.6,1,7.6,30-Nov-24,01:59:35,AM,United Kingdom,Low-Value,2024,November,30,5,4,1
100012,131,90,Clothing,16.52,1,16.52,09-Nov-24,12:27:13,PM,United States,Low-Value,2024,November,30,2,4,12
100031,2048,154,Electronics,58.89,1,58.89,11-Apr-23,12:22:52,PM,United States,Low-Value,2023,April,30,3,2,12
100036,2735,159,Home,123.73,1,123.73,03-Jun-22,11:40:18,AM,France,Low-Value,2022,June,30,1,2,11
100038,1900,426,Grocery,5.74,1,5.74,17-Jun-23,08:04:24,PM,India,Low-Value,2023,June,30,3,2,8
100042,647,47,Beauty,65.23,1,65.23,30-Apr-25,07:15:08,PM,United Kingdom,Low-Value,2025,April,30,5,2,7
100044,2889,217,Sports,45.63,1,45.63,15-Jun-25,08:54:10,PM,France,Low-Value,2025,June,30,3,2,8
100053,2825,461,Grocery,26.97,1,26.97,09-Jun-23,10:41:03,PM,India,Low-Value,2023,June,30,2,2,10
100054,2613,287,Books,5.9,1,5.9,17-Jun-25,02:20:00,AM,France,Low-Value,2025,June,30,3,2,2
100056,1364,416,Books,5.07,1,5.07,20-Apr-23,08:41:04,AM,France,Low-Value,2023,April,30,4,2,8
100064,1956,230,Sports,51.26,1,51.26,30-Jun-22,12:45:55,PM,United States,Low-Value,2022,June,30,5,2,12
100075,202,439,Grocery,30.61,1,30.61,22-Jun-22,08:02:53,AM,Netherlands,Low-Value,2022,June,30,4,2,8
100079,816,138,Sports,57.87,1,57.87,19-Apr-24,11:40:59,AM,Brazil,Low-Value,2024,April,30,3,2,11
100081,1276,331,Clothing,84.28,1,84.28,10-Sep-24,11:39:25,PM,Netherlands,Low-Value,2024,September,30,2,3,11
100082,1017,270,Clothing,50.62,1,50.62,12-Nov-23,08:25:50,PM,United Kingdom,Low-Value,2023,November,30,3,4,8
100085,338,45,Books,16.79,1,16.79,22-Nov-23,10:39:12,AM,United Kingdom,Low-Value,2023,November,30,4,4,10
100094,1181,285,Beauty,48.51,1,48.51,03-Sep-23,01:17:09,PM,Australia,Low-Value,2023,September,30,2,3,1
100096,65,20,Sports,86.59,1,86.59,06-Jun-25,06:05:55,AM,India,Low-Value,2025,June,30,1,2,6
100113,2089,19,Electronics,124.52,1,124.52,03-Nov-23,05:53:00,AM,India,Low-Value,2023,November,30,1,4,5
100117,780,223,Grocery,12.31,1,12.31,09-Sep-22,03:23:02,AM,Netherlands,Low-Value,2022,September,30,2,3,3
100119,503,451,Toys,48.16,1,48.16,29-Apr-23,10:59:05,AM,Canada,Low-Value,2023,April,30,5,2,10
100123,2147,228,Toys,17.71,1,17.71,23-Nov-23,05:32:23,AM,United States,Low-Value,2023,November,30,4,4,5
100124,2732,401,Beauty,46.01,1,46.01,10-Apr-22,05:12:25,AM,United Kingdom,Low-Value,2022,April,30,3,2,5
100125,1896,142,Home,149.43,1,149.43,16-Jun-24,09:42:23,PM,Netherlands,Low-Value,2024,June,30,4,2,9
100134,2815,139,Sports,31.62,1,31.62,14-Sep-24,09:19:11,AM,United Kingdom,Low-Value,2024,September,30,2,3,9
100135,398,276,Clothing,13.32,1,13.32,03-Apr-24,09:08:35,AM,India,Low-Value,2024,April,30,1,2,9
100136,871,291,Sports,144.67,1,144.67,21-Jun-23,01:43:56,PM,Australia,Low-Value,2023,June,30,4,2,1
100162,2730,4,Books,8.69,1,8.69,25-Apr-23,01:07:32,AM,United States,Low-Value,2023,April,30,5,2,1
100163,2605,76,Clothing,81.07,1,81.07,02-Sep-22,01:17:53,AM,United States,Low-Value,2022,September,30,1,3,1
100164,1598,329,Books,33.92,1,33.92,14-Nov-23,09:03:04,PM,India,Low-Value,2023,November,30,3,4,9
100165,2694,77,Clothing,22.92,1,22.92,30-Jun-22,11:50:22,AM,United States,Low-Value,2022,June,30,5,2,11
100171,1355,333,Clothing,87.52,1,87.52,15-Apr-25,04:05:26,AM,Australia,Low-Value,2025,April,30,3,2,4
100173,1530,476,Toys,33.44,1,33.44,11-Sep-22,11:47:57,PM,Brazil,Low-Value,2022,September,30,3,3,11
100194,1632,368,Grocery,9.61,1,9.61,10-Jun-24,09:50:41,PM,India,Low-Value,2024,June,30,3,2,9
100199,2490,401,Beauty,38.18,1,38.18,18-Sep-22,11:07:51,AM,Brazil,Low-Value,2022,September,30,4,3,11
100205,2161,251,Clothing,34.99,1,34.99,09-Sep-22,05:12:37,AM,United States,Low-Value,2022,September,30,2,3,5
100214,1154,244,Home,96.04,1,96.04,22-Jun-24,05:14:53,AM,Australia,Low-Value,2024,June,30,4,2,5
100215,1077,3,Toys,50,1,50,01-Jun-22,01:47:37,AM,Mexico,Low-Value,2022,June,30,1,2,1
100237,2512,92,Books,13.36,1,13.36,04-Apr-22,06:40:39,AM,India,Low-Value,2022,April,30,2,2,6
100242,2451,301,Grocery,48.2,1,48.2,12-Sep-22,09:02:17,PM,Australia,Low-Value,2022,September,30,3,3,9
100246,147,271,Grocery,14.89,1,14.89,12-Sep-22,11:19:16,AM,United States,Low-Value,2022,September,30,3,3,11
100250,489,64,Grocery,2.85,1,2.85,15-Apr-23,08:10:57,PM,United States,Low-Value,2023,April,30,3,2,8
100256,2920,428,Books,27.24,1,27.24,09-Sep-23,02:37:35,PM,Brazil,Low-Value,2023,September,30,2,3,2
100269,1017,20,Home,80.81,1,80.81,26-Nov-24,06:22:06,AM,Japan,Low-Value,2024,November,30,5,4,6
100272,2945,281,Home,104.98,1,104.98,12-Nov-23,12:28:10,PM,Italy,Low-Value,2023,November,30,3,4,12
100285,1697,176,Sports,80.66,1,80.66,24-Apr-22,11:35:00,PM,Canada,Low-Value,2022,April,30,5,2,11
100294,1497,310,Clothing,17.2,1,17.2,29-Sep-23,07:43:44,AM,Germany,Low-Value,2023,September,30,5,3,7
100312,1920,133,Beauty,34.29,1,34.29,04-Nov-22,03:58:56,PM,United Kingdom,Low-Value,2022,November,30,1,4,3
100315,1219,57,Grocery,9.87,1,9.87,24-Nov-23,08:18:45,PM,India,Low-Value,2023,November,30,4,4,8
100317,640,349,Electronics,102.72,1,102.72,11-Jun-25,10:21:16,PM,United States,Low-Value,2025,June,30,2,2,10
100319,460,483,Books,27.45,1,27.45,17-Sep-22,06:40:51,PM,United States,Low-Value,2022,September,30,3,3,6
100320,955,111,Toys,50.21,1,50.21,11-Jun-22,12:30:05,AM,United States,Low-Value,2022,June,30,2,2,12
100321,470,357,Grocery,4.83,1,4.83,28-Jun-22,02:09:20,PM,India,Low-Value,2022,June,30,5,2,2
100323,2798,76,Clothing,32.66,1,32.66,29-Sep-24,01:56:23,AM,France,Low-Value,2024,September,30,5,3,1
100332,798,410,Books,27.08,1,27.08,12-Apr-25,06:47:43,PM,India,Low-Value,2025,April,30,2,2,6
100336,1505,251,Clothing,37.29,1,37.29,03-Jun-24,06:38:58,PM,France,Low-Value,2024,June,30,2,2,6
100348,2147,100,Books,26.13,1,26.13,26-Sep-24,10:12:40,AM,Mexico,Low-Value,2024,September,30,4,3,10
100355,607,168,Books,15.39,1,15.39,25-Apr-24,02:21:00,AM,United Kingdom,Low-Value,2024,April,30,4,2,2
100379,1410,94,Home,53.92,1,53.92,23-Jun-25,08:20:47,AM,India,Low-Value,2025,June,30,4,2,8
100388,921,281,Toys,80.39,1,80.39,29-Nov-23,02:49:56,PM,Netherlands,Low-Value,2023,November,30,5,4,2
100392,1530,126,Grocery,15.23,1,15.23,14-Jun-22,10:47:46,AM,United States,Low-Value,2022,June,30,3,2,10
100394,36,190,Clothing,113.43,1,113.43,09-Sep-22,08:58:00,PM,India,Low-Value,2022,September,30,2,3,8
100398,2560,352,Home,81.65,1,81.65,29-Sep-23,01:56:59,AM,India,Low-Value,2023,September,30,5,3,1
100405,1116,328,Clothing,111.63,1,111.63,26-Sep-24,11:56:51,PM,Spain,Low-Value,2024,September,30,4,3,11
100410,854,147,Home,77.18,1,77.18,27-Apr-22,04:46:19,AM,Australia,Low-Value,2022,April,30,5,2,4
100414,2198,94,Grocery,17.62,1,17.62,22-Sep-22,01:56:15,PM,United States,Low-Value,2022,September,30,4,3,1
100415,2362,434,Beauty,16.17,1,16.17,11-Jun-25,03:48:46,PM,Australia,Low-Value,2025,June,30,2,2,3
